SURVEY:   DES
SNID:             47009  # integer or string assigned by survey team (required)
SNTYPE:   1    # integer type; e.g. spec or phot classification
RA:       48.000000  # deg (avg among obs)
DEC:      0.000000  # deg (avg among obs)
FILTERS:  griz
PIXSIZE:  0.2700  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0713 +- 0.0114  # MW E(B-V) 
MWXT_MAG:  0.278 0.185 0.135 0.103  # MW mag-XT per band
PEAKMJD:  56173.941     # estimate for LC fit codes
MJD_TRIGGER:       56180.211  
MJD_DETECT_FIRST:  56179.359  
MJD_DETECT_LAST:   56245.203  

REDSHIFT_HELIO:   0.244452 +- 0.000500  # Helio 
REDSHIFT_FINAL:   0.243691 +- 0.000500  # CMB (no VPEC corr) 
MASK_REDSHIFT_SOURCE:   2 # grep MASK_REDSHIFT_SOURCE sndata.h  
VPEC:                 0.00 +- 0.00      # v_pec correction
LENSDMU:             0.000 +- 0.000      # DMU from lensing

HOSTGAL_NMATCH:      0  
HOSTGAL_NMATCH2:     0  

# SIM-truth values
SIM_MODEL_NAME:      SALT2.JLA-B14  
SIM_MODEL_INDEX:     6  # grep MODEL_ sntools.h | grep def
SIM_GENTYPE:         1  # true GENTYPE 
SIM_TYPE_NAME:       SALT2.JLA-B14 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           8    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       0  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.24428 
SIM_REDSHIFT_CMB:    0.24352  
SIM_REDSHIFT_HOST:   0.24428 
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   -9 
SIM_HOSTLIB_NPAR:    0 
SIM_DLMU:            40.4329   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0000   # mag 
SIM_RA:              48.000000     # deg  
SIM_DEC:             0.000000      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0762   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   99   # MW color-law option 
SIMOPT_MWEBV:        1   # MWEBV option 
SIM_WGT_POPULATION:  1.00000  # stretch x color * AV
SIM_MAGSMEAR_COH:    0.095     # coh model scatter 
SIM_PEAKMJD:         56173.371    #  true PEAKMJD, days 
SIM_MJD_EXPLODE:     -9.000    #  true MJD for explosion 
SIM_THETA:        0.000    # BayeSN lumi-par
SIM_SALT2alpha:      0.140 
SIM_SALT2beta:       3.200 
SIM_SALT2gammaDM:    0.000 
SIM_SALT2x0:         5.0457e-05 
SIM_SALT2x1:         0.0344 
SIM_SALT2c:          0.0983 
SIM_SALT2mB:         21.3777 
SIM_SEARCHEFF_MASK:  3  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  0.7117  # spectro-search efficiency 
SIM_TRESTMIN:        4.81  # days 
SIM_TRESTMAX:        69.83  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# griz filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:  21.930 21.544 21.557 -9.000  # 
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 39 
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 56179.3590 DES-g shallow7  1.32523e+02  4.7957e+00 4096  1.000 32.220  1.94 5.086e+01  22.1848 
TRIGGER:  trigger logic satisfied at MJD_TRIGGER=56180.2109
OBS: 56180.2110 DES-r shallow7  2.12863e+02  8.8662e+00 4096  1.000 31.110  2.25 2.760e+01  21.6401 
OBS: 56180.2190 DES-i shallow7  2.15072e+02  6.7973e+00 4096  1.000 32.270  1.96 7.619e+01  21.6411 
OBS: 56188.2380 DES-g shallow7  7.16392e+01  3.6865e+00 4096  1.000 32.310  2.24 3.638e+01  22.8832 
OBS: 56189.1950 DES-r shallow7  1.04268e+02  5.9488e+01    0  1.000 29.110  2.51 2.760e+01  22.0614 
OBS: 56189.2030 DES-i shallow7  1.18387e+02  1.3956e+01 4096  1.000 31.960  3.10 7.619e+01  22.1051 
OBS: 56200.2190 DES-g shallow7  1.02820e+01  1.2719e+01    0  1.000 32.370  2.31 1.374e+02  24.1028 
OBS: 56202.2230 DES-r shallow7  7.34183e+01  1.3489e+01    0  1.000 31.070  1.52 6.581e+01  22.7060 
OBS: 56202.2380 DES-i shallow7  8.76490e+01  1.4216e+01 4096  1.000 32.280  1.61 2.026e+02  22.3832 
OBS: 56214.1640 DES-g shallow7  1.33563e+01  2.4432e+00    0  1.000 32.370  1.60 3.638e+01  24.9894 
OBS: 56215.2380 DES-r shallow7  3.52249e+01  5.9054e+00 4096  1.000 31.040  1.45 2.760e+01  23.3431 
OBS: 56216.1640 DES-i shallow7  6.88950e+01  5.6492e+00 4096  1.000 32.260  1.64 7.619e+01  22.9576 
OBS: 56221.1130 DES-g shallow7  1.21784e+01  4.5649e+00    0  1.000 32.210  2.43 3.916e+01  25.1734 
OBS: 56221.1950 DES-r shallow7  9.58221e+01  4.7472e+01    0  1.000 29.110  2.00 2.760e+01  23.5921 
OBS: 56221.3120 DES-i shallow7  6.81781e+01  8.5082e+00 4096  1.000 31.940  1.85 7.619e+01  23.1878 
OBS: 56228.1990 DES-g shallow7 -3.89272e+00  6.9164e+00    0  1.000 32.330  1.32 1.260e+02  25.2888 
OBS: 56228.2150 DES-r shallow7  2.25384e+01  1.5493e+01    0  1.000 30.880  1.65 5.860e+01  23.8044 
OBS: 56228.2230 DES-i shallow7  8.11623e+01  2.9187e+01    0  1.000 31.290  1.52 1.772e+02  23.4377 
OBS: 56230.1560 DES-g shallow7  1.21797e+01  9.8388e+00    0  1.000 32.290  1.33 1.716e+02  25.3338 
OBS: 56230.1720 DES-r shallow7  5.29980e+01  1.8882e+01    0  1.000 30.930  1.46 8.506e+01  23.8492 
OBS: 56230.1880 DES-i shallow7  4.63507e+01  2.2920e+01    0  1.000 32.110  1.70 2.652e+02  23.4982 
OBS: 56235.1600 DES-g shallow7  1.27993e+01  5.3384e+00    0  1.000 32.350  1.86 6.962e+01  25.4606 
OBS: 56235.1720 DES-r shallow7  2.81115e+01  1.1702e+01    0  1.000 30.940  2.14 3.511e+01  23.9362 
OBS: 56235.1880 DES-i shallow7  3.02597e+01  1.0313e+01    0  1.000 32.190  2.17 1.001e+02  23.6275 
OBS: 56237.1990 DES-g shallow7 -1.07597e+00  4.9417e+00    0  1.000 32.120  1.94 4.964e+01  25.5150 
OBS: 56237.2070 DES-r shallow7  3.21940e+01  9.8262e+00    0  1.000 30.860  1.95 2.950e+01  23.9681 
OBS: 56237.2150 DES-i shallow7  3.62270e+01  1.2654e+01    0  1.000 31.610  1.90 8.195e+01  23.6776 
OBS: 56243.1950 DES-g shallow7  3.84251e+00  2.2361e+00    0  1.000 32.320  1.41 3.638e+01  25.6764 
